"species","COUNT(sourceID)"
"Aniba burchellii",1
"Aspidosperma nobile",1
"Byrsonima stipulacea",1
"Cinchona micrantha",1
"Clusia multiflora",1
"Couepia grandiflora",1
"Erisma bracteosum",1
"Erythroxylum pruinosum",1
"Eugenia flavescens",1
"Forsteronia tarapotensis",1
"Hieronyma asperifolia",1
"Himatanthus obovatus",1
"Hirtella burchellii",1
"Hirtella caduca",1
"Isertia laevis",1
"Lafoensia punicifolia",1
"Licania gracilipes",1
"Macairea thyrsiflora",1
"Miconia cinnamomifolia",1
"Miconia cyanocarpa",1
"Miconia erioclada",1
"Muntingia calabura",1
"Piptocarpha rotundifolia",1
"Plenckia populnea",1
"Pleurothyrium intermedium",1
"Psidium laruotteanum",1
"Qualea multiflora",1
"Senna rugosa",1
"Sloanea granulosa",1
"Solanum gomphodes",1
"Tocoyena foetida",1
"Zanthoxylum rhoifolium",1
"Zeyheria montana",1
"Acalypha macrostachya",2
"Acalypha stenoloba",2
"Acanthosyris annonagustata",2
"Acidoton nicaraguensis",2
"Aegiphila cordata",2
"Aegiphila cordifolia",2
"Agonandra peruviana",2
"Agouticarpa isernii",2
"Aiphanes aculeata",2
"Alchornea acutifolia",2
"Ambelania duckei",2
"Amyris macrocarpa",2
"Amyris pinnata",2
"Anaxagorea floribunda",2
"Andira fraxinifolia",2
"Aniba riparia",2
"Annona dioica",2
"Aspidosperma megalocarpon",2
"Bactris acanthocarpa",2
"Bactris corossilla",2
"Beilschmiedia pendula",2
"Blakea rosea",2
"Byrsonima chrysophylla",2
"Byrsonima putumayensis",2
"Byrsonima sericea",2
"Carpotroche platyptera",2
"Casearia nigricans",2
"Casearia spruceana",2
"Cassia grandis",2
"Cecropia herthae",2
"Cecropia marginalis",2
"Cecropia putumayonis",2
"Centrolobium paraense",2
"Cestrum tomentosum",2
"Chomelia apodantha",2
"Chondrodendron tomentosum",2
"Chrysochlamys membranacea",2
"Chrysochlamys tenuifolia",2
"Citharexylum poeppigii",2
"Clerodendrum ulei",2
"Clethra obovata",2
"Clusia lineata",2
"Clusia loretensis",2
"Clusia weberbaueri",2
"Coccoloba paraensis",2
"Compsoneura ulei",2
"Condalia weberbaueri",2
"Copaifera paupera",2
"Cordia chamissoniana",2
"Cordia spinescens",2
"Cordiera macrophylla",2
"Cosmibuena grandiflora",2
"Couepia subcordata",2
"Couroupita guianensis",2
"Coussarea cephaeloides",2
"Coussarea dulcifolia",2
"Cremastosperma cauliflorum",2
"Cryptocarya aschersoniana",2
"Cybianthus occigranatensis",2
"Cybianthus penduliflorus",2
"Cybianthus potiaei",2
"Cybianthus resinosus",2
"Cybianthus spichigeri",2
"Cybianthus venezuelanus",2
"Cymbopetalum coriaceum",2
"Daphnopsis equatorialis",2
"Dendropanax querceti",2
"Diclidanthera penduliflora",2
"Didymopanax umbrosus",2
"Diospyros carbonaria",2
"Diospyros ekodul",2
"Diospyros hispida",2
"Duguetia pycnastera",2
"Duroia aquatica",2
"Duroia eriopila",2
"Endlicheria gracilis",2
"Endlicheria longicaudata",2
"Endlicheria pyriformis",2
"Endlicheria tschudyana",2
"Erythrochiton brasiliensis",2
"Erythroxylum gracilipes",2
"Erythroxylum mucronatum",2
"Eschweilera andina",2
"Eugenia chrysophyllum",2
"Eugenia egensis",2
"Eugenia multirimosa",2
"Eugenia schunkei",2
"Euplassa occidentalis",2
"Faramea oblongifolia",2
"Faramea quinqueflora",2
"Faramea torquata",2
"Ficus brevibracteata",2
"Ficus casapiensis",2
"Ficus hebetifolia",2
"Ficus mutisii",2
"Ficus piresiana",2
"Ficus yoponensis",2
"Gloeospermum longifolium",2
"Gonzalagunia dicocca",2
"Graffenrieda boliviensis",2
"Guarea fistulosa",2
"Guarea venenata",2
"Guettarda divaricata",2
"Gustavia angustifolia",2
"Gustavia poeppigiana",2
"Gymnosporia magnifolia",2
"Heisteria insculpta",2
"Helicostylis pedunculata",2
"Hirtella hispidula",2
"Hirtella paraensis",2
"Inga calantha",2
"Inga cocleensis",2
"Inga graciliflora",2
"Inga hayesii",2
"Iryanthera hostmannii",2
"Ixora acuminatissima",2
"Ixora killipii",2
"Jablonskia congesta",2
"Klarobelia napoensis",2
"Lacistema macbridei",2
"Lacmellea oblongata",2
"Leonia occidentalis",2
"Licania boliviensis",2
"Licania silvae",2
"Lozania klugii",2
"Lozania mutisiana",2
"Lycianthes pauciflora",2
"Macbrideina peruviana",2
"Machaerium aristulatum",2
"Machaerium caudatum",2
"Machaerium quinata",2
"Matayba boliviana",2
"Matayba elaeagnoides",2
"Matayba grandis",2
"Matayba spruceana",2
"Matisia longiflora",2
"Matisia obliquifolia",2
"Matisia oblongifolia",2
"Maytenus krukovii",2
"Melicoccus novogranatensis",2
"Meliosma vasquezii",2
"Miconia abbreviata",2
"Miconia acutipetala",2
"Miconia cazaletii",2
"Miconia decurrens",2
"Miconia fosteri",2
"Miconia glaucescens",2
"Miconia klugii",2
"Miconia lourteigiana",2
"Miconia mazanana",2
"Miconia multispicata",2
"Miconia napoana",2
"Miconia pterocaulon",2
"Miconia schunkei",2
"Miconia smaragdina",2
"Miconia subandicola",2
"Miconia zubenetana",2
"Mollia gracilis",2
"Mollinedia lamprophylla",2
"Mollinedia repanda",2
"Mollinedia tomentosa",2
"Morus insignis",2
"Myrcia bracteata",2
"Myrcia decorticans",2
"Myrcia fenestrata",2
"Myrcia multiflora",2
"Myrcia sylvatica",2
"Nectandra acuminata",2
"Nectandra coeloclada",2
"Nectandra crassiloba",2
"Nectandra microcarpa",2
"Nectandra oppositifolia",2
"Nectandra parviflora",2
"Neoptychocarpus apodanthus",2
"Nothotalisia peruviana",2
"Ochroma pyramidale",2
"Ocotea dispersa",2
"Ocotea leucoxylon",2
"Ocotea scalariformis",2
"Ouratea amplifolia",2
"Pachira punga-schunkei",2
"Paradrypetes subintegrifolia",2
"Patinoa paraensis",2
"Pentagonia williamsii",2
"Pentagonia wurdackii",2
"Pentaplaris huaoranica",2
"Persea areolatocostae",2
"Persea pseudofasciculata",2
"Phyllanthus attenuatus",2
"Phytelephas tenuicaulis",2
"Picramnia ciliata",2
"Picramnia spruceana",2
"Piper amalago",2
"Piper bellidifolium",2
"Piper elongatum",2
"Piper tuberculatum",2
"Piptadenia adiantoides",2
"Piptocarpha poeppigiana",2
"Plathymenia reticulata",2
"Pleurothyrium bifidum",2
"Pleurothyrium insigne",2
"Pleurothyrium williamsii",2
"Porcelia nitidifolia",2
"Posoqueria longiflora",2
"Potalia amara",2
"Potalia resinifera",2
"Pourouma napoensis",2
"Pouteria baehniana",2
"Pouteria cayennensis",2
"Pouteria gracilis",2
"Pouteria lucumifolia",2
"Pradosia atroviolacea",2
"Protium laxiflorum",2
"Protium macrophyllum",2
"Psychotria borjensis",2
"Psychotria levis",2
"Psychotria nuda",2
"Psychotria trivialis",2
"Quararibea bilobata",2
"Quiina grandifolia",2
"Remijia tenuiflora",2
"Retrophyllum rospigliosii",2
"Rhodostemonodaphne juruensis",2
