"species","COUNT(sourceID)"
"Abarema laeta",1
"Acanthosyris annonagustata",1
"Aegiphila integrifolia",1
"Aegiphila smithii",1
"Agonandra peruviana",1
"Aiphanes ulei",1
"Alchornea triplinervia",1
"Allophylus divaricatus",1
"Allophylus pilosus",1
"Alseis lugonis",1
"Ampelocera edentula",1
"Ampelocera longissima",1
"Amyris macrocarpa",1
"Anaxagorea brevipes",1
"Andira multistipula",1
"Andira unifoliolata",1
"Aniba ferrea",1
"Annona duckei",1
"Annona hypoglauca",1
"Anthodiscus amazonicus",1
"Apeiba tibourbou",1
"Aptandra tubicina",1
"Aspidosperma rigidum",1
"Astrocaryum chambira",1
"Attalea guianensis",1
"Attalea racemosa",1
"Bactris corossilla",1
"Batocarpus costaricensis",1
"Batocarpus orinocensis",1
"Bauhinia tarapotensis",1
"Beilschmiedia pendula",1
"Bellucia pentamera",1
"Bertiera guianensis",1
"Blakea rosea",1
"Brosimum potabile",1
"Buchenavia congesta",1
"Buchenavia macrophylla",1
"Buchenavia parvifolia",1
"Bunchosia argentea",1
"Byrsonima putumayensis",1
"Calycophyllum megistocaulum",1
"Calyptranthes bipennis",1
"Calyptranthes ruiziana",1
"Calyptranthes speciosa",1
"Campomanesia lineatifolia",1
"Caryodaphnopsis tomentosa",1
"Casearia manausensis",1
"Casearia nigricans",1
"Casearia prunifolia",1
"Casearia ulmifolia",1
"Cassia rubriflora",1
"Cathedra acuminata",1
"Cecropia engleriana",1
"Cecropia herthae",1
"Cecropia marginalis",1
"Cecropia putumayonis",1
"Cedrela fissilis",1
"Centronia laurifolia",1
"Cestrum tomentosum",1
"Chamaecrista adiantifolia",1
"Chrysochlamys tenuifolia",1
"Chrysophyllum manaosense",1
"Chrysophyllum ovale",1
"Clavija procera",1
"Clavija weberbaueri",1
"Clitoria amazonum",1
"Compsoneura capitellata",1
"Compsoneura ulei",1
"Cordia chamissoniana",1
"Cordia collococca",1
"Cordia hebeclada",1
"Cordia sprucei",1
"Cordia ucayaliensis",1
"Couepia chrysocalyx",1
"Couepia obovata",1
"Couepia robusta",1
"Couroupita guianensis",1
"Coussarea dulcifolia",1
"Coussarea klugii",1
"Cremastosperma cauliflorum",1
"Cremastosperma gracilipes",1
"Cupania diphylla",1
"Cymbopetalum coriaceum",1
"Dalbergia subcymosa",1
"Dendropanax arboreus",1
"Dicorynia paraensis",1
"Dinizia excelsa",1
"Diospyros artanthifolia",1
"Diospyros ekodul",1
"Diospyros pseudoxylopia",1
"Diplotropis triloba",1
"Discophora guianensis",1
"Duguetia hadrantha",1
"Duguetia riparia",1
"Duguetia trunciflora",1
"Dulacia candida",1
"Duroia eriopila",1
"Duroia fusifera",1
"Duroia hirsuta",1
"Duroia macrophylla",1
"Dussia tessmannii",1
"Elaeoluma glabrescens",1
"Endlicheria bracteata",1
"Endlicheria formosa",1
"Endlicheria krukovii",1
"Endlicheria tessmannii",1
"Eperua bijuga",1
"Eperua duckeana",1
"Eriotheca globosa",1
"Erisma bicolor",1
"Erythrina amazonica",1
"Erythroxylum gracilipes",1
"Erythroxylum squamatum",1
"Eschweilera andina",1
"Eschweilera romeu-cardosoi",1
"Esenbeckia amazonica",1
"Eugenia egensis",1
"Eugenia lambertiana",1
"Eugenia multirimosa",1
"Eugenia schunkei",1
"Euterpe precatoria",1
"Faramea glandulosa",1
"Faramea multiflora",1
"Faramea torquata",1
"Ficus brevibracteata",1
"Ficus cervantesiana",1
"Ficus tonduzii",1
"Ficus trigona",1
"Froesia diffusa",1
"Garcinia brasiliensis",1
"Garcinia madruno",1
"Gloeospermum equatoriense",1
"Gloeospermum longifolium",1
"Guarea carinata",1
"Guarea ecuadoriensis",1
"Guarea glabra",1
"Guarea guentheri",1
"Guarea pterorhachis",1
"Guatteria decurrens",1
"Gustavia elliptica",1
"Hedyosmum sprucei",1
"Heisteria nitida",1
"Heisteria spruceana",1
"Henriquezia verticillata",1
"Herrania cuatrecasana",1
"Herrania nitida",1
"Himatanthus sucuuba",1
"Hirtella excelsa",1
"Inga alata",1
"Inga brachyrhachis",1
"Inga cinnamomea",1
"Inga heterophylla",1
"Inga microcoma",1
"Inga nobilis",1
"Inga obidensis",1
"Inga oerstediana",1
"Inga panurensis",1
"Inga poeppigiana",1
"Inga punctata",1
"Inga sapindoides",1
"Inga sarayacuensis",1
"Inga stipulacea",1
"Inga striata",1
"Inga tocacheana",1
"Inga umbellifera",1
"Inga velutina",1
"Inga vismiifolia",1
"Inga yacoana",1
"Iryanthera elliptica",1
"Iryanthera grandis",1
"Ixora acuminatissima",1
"Ixora killipii",1
"Ixora panurensis",1
"Jacaranda macrocarpa",1
"Klarobelia napoensis",1
"Lacmellea lactescens",1
"Lacmellea oblongata",1
"Lecointea peruviana",1
"Leonia crassa",1
"Leonia occidentalis",1
"Licania arborea",1
"Licania hypoleuca",1
"Licania latifolia",1
"Licania macrocarpa",1
"Machaerium aristulatum",1
"Machaerium floribundum",1
"Macrolobium prancei",1
"Macrolobium stenocladum",1
"Macrolobium suaveolens",1
"Manilkara cavalcantei",1
"Matisia oblongifolia",1
"Meliosma vasquezii",1
"Mezilaurus triunca",1
"Miconia abbreviata",1
"Miconia acutipetala",1
"Miconia bubalina",1
"Miconia cazaletii",1
"Miconia centrodesma",1
"Miconia crassinervia",1
"Miconia decurrens",1
"Miconia fosteri",1
"Miconia klugii",1
"Miconia lamprophylla",1
"Miconia lugonis",1
"Miconia multispicata",1
"Miconia napoana",1
"Miconia nervosa",1
"Miconia prasina",1
"Miconia pterocaulon",1
"Miconia rugosa",1
"Miconia schunkei",1
"Miconia smaragdina",1
"Miconia tomentosa",1
"Miconia trinervia",1
"Miconia zubenetana",1
"Micropholis brochidodroma",1
"Mollia gracilis",1
"Mollinedia killipii",1
"Mollinedia tomentosa",1
"Mouriri grandiflora",1
"Mouriri myrtilloides",1
"Mouriri nigra",1
"Naucleopsis krukovii",1
"Nectandra lineata",1
"Nectandra membranacea",1
"Nectandra microcarpa",1
"Nectandra oppositifolia",1
"Nectandra viburnoides",1
"Neosprucea grandiflora",1
"Ocotea cernua",1
"Ocotea floribunda",1
"Ocotea leucoxylon",1
"Ocotea scalariformis",1
"Oenocarpus mapora",1
"Ophiocaryon heterophyllum",1
"Ormosia amazonica",1
"Ormosia elata",1
"Oxandra mediocris",1
"Pachira punga-schunkei",1
"Palicourea grandiflora",1
"Palicourea lasiantha",1
"Paradrypetes subintegrifolia",1
"Parinari klugii",1
"Parkia balslevii",1
"Patinoa paraensis",1
"Paypayrola guianensis",1
"Pentagonia wurdackii",1
"Pentaplaris huaoranica",1
"Pera bicolor",1
"Persea areolatocostae",1
"Persea pseudofasciculata",1
"Phyllanthus attenuatus",1
"Phytelephas tenuicaulis",1
"Picramnia juniniana",1
"Picramnia magnifolia",1
"Piper aequale",1
"Piper arboreum",1
"Piper augustum",1
"Piper bellidifolium",1
"Piper crassinervium",1
"Piper reticulatum",1
"Platymiscium stipulare",1
"Pleurothyrium bifidum",1
"Pleurothyrium cuneifolium",1
"Pleurothyrium glabrifolium",1
"Pleurothyrium insigne",1
"Posoqueria longiflora",1
"Potalia resinifera",1
"Pourouma napoensis",1
"Pourouma persecta",1
"Pouteria baehniana",1
"Pouteria gracilis",1
"Pouteria krukovii",1
"Pouteria multiflora",1
"Pouteria nudipetala",1
"Pouteria platyphylla",1
"Pouteria procera",1
"Pouteria virescens",1
"Pradosia atroviolacea",1
"Prestoea schultzeana",1
"Protium carnosum",1
"Protium ferrugineum",1
"Protium nitidifolium",1
"Pseudomalmea diclina",1
"Psychotria borjensis",1
"Psychotria remota",1
"Psychotria viridis",1
"Quiina amazonica",1
"Quiina florida",1
"Rauvolfia praecox",1
"Rhodostemonodaphne juruensis",1
"Rhodostemonodaphne sordida",1
"Richeria dressleri",1
"Roupala montana",1
"Ruagea insignis",1
"Rudgea bracteata",1
"Rudgea japurensis",1
"Ruizodendron ovale",1
"Ryania speciosa",1
"Salacia cordata",1
"Sarcaulus brasiliensis",1
"Sarcaulus vestitus",1
"Senna bacillaris",1
"Senna trolliiflora",1
"Simaba orinocensis",1
"Simaba paraensis",1
"Siparuna cervicornis",1
"Siparuna macrotepala",1
"Siparuna poeppigii",1
"Sloanea floribunda",1
"Sloanea synandra",1
"Solanum altissimum",1
"Solanum lepidotum",1
"Solanum leptopodum",1
"Solanum malletii",1
"Sterculia tessmannii",1
"Stryphnodendron paniculatum",1
"Stylogyne cauliflora",1
"Styrax guyanensis",1
"Swartzia bombycina",1
"Swartzia multijuga",1
"Swartzia simplex",1
"Symplocos arechea",1
"Terminalia amazonia",1
"Tessmannianthus heterostemon",1
"Tetrathylacium macrophyllum",1
"Tetrorchidium macrophyllum",1
"Tococa guianensis",1
"Tournefortia bicolor",1
"Trattinnickia lancifolia",1
"Trichilia elsae",1
"Trichilia laxipaniculata",1
"Trichilia obovata",1
"Trichilia rubra",1
"Trichilia solitudinis",1
"Urera baccifera",1
"Vatairea paraensis",1
"Virola caducifolia",1
"Virola dixonii",1
"Virola flexuosa",1
"Virola mollissima",1
"Virola multinervia",1
"Virola obovata",1
"Virola theiodora",1
"Vismia baccifera",1
"Vismia floribunda",1
"Vismia macrophylla",1
"Vismia sprucei",1
"Vitex schunkei",1
"Warszewiczia cordata",1
"Wettinia maynensis",1
"Wittmackanthus stanleyanus",1
"Zanthoxylum setulosum",1
"Abarema piresii",2
"Acalypha cuneata",2
"Acidoton nicaraguensis",2
"Alexa grandiflora",2
"Amanoa guianensis",2
"Aniba canelilla",2
"Aniba hostmanniana",2
"Aniba panurensis",2
"Aniba riparia",2
"Aniba williamsii",2
"Apeiba membranacea",2
"Aspidosperma oblongum",2
"Attalea luetzelburgii",2
"Buchenavia tetraphylla",2
"Carpotroche longifolia",2
"Celtis iguanaea",2
"Chrysophyllum ucuquirana-branca",2
"Conceveiba rhytidocarpa",2
"Cordia sellowiana",2
"Couratari gloriosa",2
"Cupania rubiginosa",2
"Dendropanax querceti",2
"Desmoncus pumilus",2
"Dilkea parviflora",2
"Dimorphandra parviflora",2
"Dulacia guianensis",2
"Duroia aquatica",2
"Dussia discolor",2
"Endlicheria tschudyana",2
"Eschweilera squamata",2
"Eugenia cupulata",2
"Eugenia florida",2
"Eugenia pseudopsidium",2
"Faramea capillipes",2
"Faramea corymbosa",2
"Faramea quinqueflora",2
"Geissospermum laeve",2
"Guarea fistulosa",2
"Guarea trunciflora",2
"Guatteria citriodora",2
"Gustavia longifolia",2
"Heisteria densifrons",2
"Helianthostylis sprucei",2
"Humiriastrum subcrenatum",2
"Hymenolobium flavum",2
"Hymenolobium sericeum",2
"Inga cordatoalata",2
"Inga melinonis",2
"Lecythis serrata",2
"Licania apetala",2
"Licania caudata",2
"Licania longipedicellata",2
"Licania longistyla",2
"Licania miltonii",2
"Licania oblongifolia",2
"Licania reticulata",2
"Lindackeria paludosa",2
"Lozania klugii",2
"Mabea speciosa",2
"Macrolobium acaciifolium",2
"Maprounea guianensis",2
"Matisia bracteolosa",2
"Matisia longiflora",2
"Matisia malacocalyx",2
"Matisia obliquifolia",2
"Miconia elata",2
"Miconia tschudyoides",2
"Micrandra siphonioides",2
"Mouriri sagotiana",2
"Mouriri uncitheca",2
"Myrcia deflexa",2
"Myrcia fallax",2
"Naucleopsis imitans",2
"Naucleopsis ulei",2
"Ormosia flava",2
"Ormosia paraensis",2
"Ormosia stipularis",2
"Palicourea guianensis",2
"Palicourea nigricans",2
"Parkia gigantocarpa",2
"Peltogyne catingae",2
"Peltogyne paniculata",2
"Peridiscus lucidus",2
"Pouteria campanulata",2
"Pouteria vernicosa",2
"Protium unifoliolatum",2
"Prunus myrtifolia",2
"Psychotria mapourioides",2
"Pterocarpus amazonum",2
"Pterogyne nitens",2
"Qualea gracilior",2
"Rinorea lindeniana",2
"Rinorea macrocarpa",2
"Rinorea viridifolia",2
"Simaba guianensis",2
"Simaba morettii",2
"Siparuna cuspidata",2
"Sloanea garckeana",2
"Sloanea obtusifolia",2
"Sloanea pubescens",2
"Sorocea muriculata",2
"Stryphnodendron pulcherrimum",2
"Swartzia laurifolia",2
"Tachigali formicarum",2
"Tachigali guianensis",2
"Toulicia reticulata",2
"Trichilia poeppigii",2
"Unonopsis veneficiorum",2
"Vataireopsis surinamensis",2
"Vismia cayennensis",2
"Zygia heteroneura",2
"Andira inermis",3
"Andira micrantha",3
"Andira parviflora",3
"Antonia ovata",3
"Attalea plowmanii",3
"Attalea tessmannii",3
"Bactris elegans",3
"Buchenavia guianensis",3
"Casearia pitumba",3
"Coccoloba excelsa",3
"Cochlospermum vitifolium",3
"Cordia scabrifolia",3
"Desmoncus setosus",3
"Dipteryx punctata",3
"Elaeoluma nuda",3
"Erisma floribundum",3
"Eschweilera ovalifolia",3
"Exellodendron barbatum",3
"Hieronyma duquei",3
"Hirtella punctillata",3
"Hirtella suffulta",3
"Humiria balsamifera",3
"Inga acreana",3
"Inga lateriflora",3
"Inga stipularis",3
"Inga thibaudiana",3
"Lacistema grandifolium",3
"Licania brittoniana",3
"Licania latistipula",3
"Licania minutiflora",3
"Macairea rufescens",3
"Micropholis melinoniana",3
"Micropholis porphyrocarpa",3
"Morisonia americana",3
"Myrcia tomentosa",3
"Myrciaria floribunda",3
"Ocotea amazonica",3
"Onychopetalum periquino",3
"Ormosia grossa",3
"Parkia velutina",3
"Pithecellobium dulce",3
"Pouteria benai",3
"Pouteria macrocarpa",3
"Pouteria putamen-ovi",3
"Pseudosenefeldera inclinata",3
"Remijia morilloi",3
"Retiniphyllum concolor",3
"Rudgea longiflora",3
"Ruptiliocarpon caracolito",3
"Siparuna pachyantha",3
"Sterculia excelsa",3
"Styrax pallidus",3
"Swartzia corrugata",3
"Swartzia cuspidata",3
"Swartzia ingifolia",3
"Swartzia longistipitata",3
"Tapura amazonica",3
"Trattinnickia demerarae",3
"Trichilia micrantha",3
"Virola multicostata",3
"Vitex spongiocarpa",3
"Zygia ramiflora",3
"Agonandra silvatica",4
"Alchorneopsis floribunda",4
"Alibertia curviflora",4
"Allophylus angustatus",4
"Allophylus glabratus",4
"Annona neglecta",4
"Anomospermum grandifolium",4
"Ardisia nigrovirens",4
"Attalea insignis",4
"Bactris acanthocarpoides",4
"Banara nitida",4
"Batocarpus amazonicus",4
"Bocageopsis multiflora",4
"Bocoa viridiflora",4
"Byrsonima aerugo",4
"Byrsonima arthropoda",4
"Byrsonima incarnata",4
"Calyptranthes lanceolata",4
"Calyptranthes longifolia",4
"Calyptranthes multiflora",4
"Caryocar villosum",4
"Casearia fasciculata",4
"Cestrum reflexum",4
"Chamaedorea angustisecta",4
"Chrysochlamys ulei",4
"Chrysophyllum amazonicum",4
"Citharexylum poeppigii",4
"Clavija elliptica",4
"Clavija tarapotana",4
"Cordia panicularis",4
"Coussarea paniculata",4
"Coussarea rudgeoides",4
"Cremastosperma leiophyllum",4
"Dipteryx magnifica",4
"Duguetia calycina",4
"Ephedranthus guianensis",4
"Erythroxylum orinocense",4
"Eschweilera truncata",4
"Eugenia myrobalana",4
"Eugenia punicifolia",4
"Ficus guianensis",4
"Genipa americana",4
"Gloeospermum sphaerocarpum",4
"Guatteria guianensis",4
"Guettarda aromatica",4
"Hamelia axillaris",4
"Heisteria concinna",4
"Hieronyma alchorneoides",4
"Hymenolobium excelsum",4
"Inga nouragensis",4
"Inga umbratica",4
"Ixora peruviana",4
"Lecointea amazonica",4
"Leopoldinia major",4
"Leopoldinia piassaba",4
"Licaria chrysophylla",4
"Mabea piriri",4
"Mabea pulcherrima",4
"Maclura brasiliensis",4
"Miconia aulocalyx",4
"Mollia lepidota",4
"Mora gonggrijpii",4
"Muntingia calabura",4
"Neea hirsuta",4
"Ocotea indirectinervia",4
"Ocotea longifolia",4
"Ocotea tomentella",4
"Oxandra espintana",4
"Oxandra euneura",4
"Pachira brevipes",4
"Palicourea longiflora",4
"Parkia panurensis",4
"Pausandra trianae",4
"Peltogyne excelsa",4
"Perebea rubra",4
"Pourouma melinonii",4
"Pouteria anomala",4
"Protium calanense",4
"Protium guianense",4
"Protium neglectum",4
"Psidium acutangulum",4
"Quiina obovata",4
"Rourea amazonica",4
"Siparuna cristata",4
"Sterculia parviflora",4
"Strychnos tarapotensis",4
"Styloceras brokawii",4
"Swartzia oblanceolata",4
"Tachigali venusta",4
"Talisia cerasina",4
"Talisia microphylla",4
"Trichilia schomburgkii",4
"Trichilia surinamensis",4
"Vatairea erythrocarpa",4
"Vitex sprucei",4
"Vochysia surinamensis",4
"Xylopia frutescens",4
"Acnistus arborescens",5
"Allophylus amazonicus",5
"Aspidosperma spruceanum",5
"Astrocaryum murumuru",5
"Astronium graveolens",5
"Attalea speciosa",5
"Buchenavia grandis",5
"Bursera simaruba",5
"Byrsonima laevigata",5
"Casearia aculeata",5
"Cecropia sciadophylla",5
"Chaunochiton kappleri",5
"Clusia insignis",5
"Couepia magnoliifolia",5
"Cupania cinerea",5
"Duguetia quitarensis",5
"Enterolobium maximum",5
"Eschweilera wachenheimii",5
"Gmelina arborea",5
"Hasseltia floribunda",5
"Inga densiflora",5
"Inga ruiziana",5
"Inga splendens",5
"Lacunaria crenata",5
"Lecythis prancei",5
"Leretia cordata",5
"Licaria guianensis",5
"Mayna odorata",5
"Miconia triplinervis",5
"Micrandropsis scleroxylon",5
"Morinda citrifolia",5
"Mouriri dimorphandra",5
"Myrcia splendens",5
"Naucleopsis guianensis",5
"Ochroma pyramidale",5
"Ormosia macrocalyx",5
"Parkia pendula",5
"Protium divaricatum",5
"Prunus debilis",5
"Pseudoxandra cuspidata",5
"Schefflera decaphylla",5
"Sloanea brevipes",5
"Solanum sessile",5
"Swartzia cardiosperma",5
"Swartzia recurva",5
"Swartzia reticulata",5
"Tabebuia insignis",5
"Trichilia quadrijuga",5
"Trichostigma octandrum",5
"Xylopia cuspidata",5
"Zygia longifolia",5
"Abuta grandifolia",6
"Alseis labatioides",6
"Attalea phalerata",6
"Balizia pedicellaris",6
"Buchenavia viridiflora",6
"Clusia grandiflora",6
"Couratari calycina",6
"Couratari oblongifolia",6
"Coussapoa trinervia",6
"Croton tessmannii",6
"Cynometra bauhiniifolia",6
"Dacryodes cupularis",6
"Dendropanax caucanus",6
"Desmoncus vacivus",6
"Ecclinusa guianensis",6
"Eschweilera simiorum",6
"Euplassa occidentalis",6
"Faramea pedunculata",6
"Guarea purusana",6
"Guarea silvatica",6
"Hevea pauciflora",6
"Inga aria",6
"Inga auristellae",6
"Jacaratia digitata",6
"Lacunaria jenmanii",6
"Lecythis holcogyne",6
"Licania glabriflora",6
"Licania kunthiana",6
