"Familia","Binomio","N. Fontes","Flora e Funga do Brasil, 2014","Cardoso et all, 2017","Arieira et all, 2021","wcvp_plant_name_id","wcvp_taxon_rank","wcvp_taxon_status","wcvp_family","wcvp_taxon_name","wcvp_taxon_authors","wcvp_accepted_plant_name_id","wcvp_reviewed","wcvp_searchedName","wcvp_taxon_status_of_searchedName","wcvp_plant_name_id_of_searchedName","wcvp_taxon_authors_of_searchedName","wcvp_searchNotes","fb2020_taxonID","fb2020_acceptedNameUsageID","fb2020_scientificName","fb2020_taxonRank","fb2020_scientificNameAuthorship","fb2020_taxonomicStatus","fb2020_nomenclaturalStatus","fb2020_scientificNamewithoutAuthorship","fb2020_searchNotes","categoria_Ameaca_Portaria_443"
"Acanthaceae","Avicennia germinans",1,1,,,18443,"Species","Accepted","Acanthaceae","Avicennia germinans","(L.) L.",18443,"N","Avicennia germinans",,,,"Accepted",79917,,"Avicennia germinans (L.) L.","ESPECIE","(L.) L.","NOME_ACEITO",,"Avicennia germinans","NOME_ACEITO",
"Acanthaceae","Avicennia schaueriana",1,1,,,18479,"Species","Accepted","Acanthaceae","Avicennia schaueriana","Stapf & Leechm. ex Moldenke",18479,"N","Avicennia schaueriana",,,,"Accepted",34115,,"Avicennia schaueriana Stapf & Leechm. ex Moldenke","ESPECIE","Stapf & Leechm. ex Moldenke","NOME_ACEITO",,"Avicennia schaueriana","NOME_ACEITO",
"Acanthaceae","Bravaisia integerrima",1,,,1,2682980,"Species","Accepted","Acanthaceae","Bravaisia integerrima","(Spreng.) Standl.",2682980,"N","Bravaisia integerrima",,,,"Accepted",,,,,,,,,"Not found",
"Acanthaceae","Pachystachys rosea",1,,,1,2406213,"Species","Accepted","Acanthaceae","Pachystachys rosea","Wassh.",2406213,"N","Pachystachys rosea",,,,"Accepted",,,,,,,,,"Not found",
"Acanthaceae","Pachystachys spicata",1,,,1,2406211,"Species","Accepted","Acanthaceae","Pachystachys spicata","(Ruiz & Pav.) Wassh.",2406211,"N","Pachystachys spicata",,,,"Accepted",4187,,"Pachystachys spicata (Ruiz & Pav.) Wassh.","ESPECIE","(Ruiz & Pav.) Wassh.","NOME_ACEITO","NOME_CORRETO","Pachystachys spicata","NOME_ACEITO",
"Acanthaceae","Sanchezia arborea",2,,1,1,2477903,"Species","Accepted","Acanthaceae","Sanchezia scandens","(Lindau) Leonard & L.B.Sm.",2477903,"N","Sanchezia arborea","Synonym","2477951","Leonard & L.B.Sm.","Updated",,,,,,,,,"Not found",
"Acanthaceae","Sanchezia aurantiaca",2,,1,1,2477952,"Species","Accepted","Acanthaceae","Sanchezia aurantiaca","Leonard & L.B.Sm.",2477952,"N","Sanchezia aurantiaca",,,,"Accepted",,,,,,,,,"Not found",
"Acanthaceae","Sanchezia longiflora",1,,,1,2477974,"Species","Accepted","Acanthaceae","Sanchezia longiflora","(Hook.f.) Hook.f. ex Planch.",2477974,"N","Sanchezia longiflora",,,,"Accepted",,,,,,,,,"Not found",
"Acanthaceae","Sanchezia scandens",2,1,,1,2477903,"Species","Accepted","Acanthaceae","Sanchezia scandens","(Lindau) Leonard & L.B.Sm.",2477903,"N","Sanchezia scandens",,,,"Accepted",21720,,"Sanchezia scandens (Lindau) Leonard & L.B.Sm.","ESPECIE","(Lindau) Leonard & L.B.Sm.","NOME_ACEITO","NOME_CORRETO","Sanchezia scandens","NOME_ACEITO",
"Acanthaceae","Sanchezia sericea",1,,,1,2477904,"Species","Accepted","Acanthaceae","Sanchezia sericea","Leonard",2477904,"N","Sanchezia sericea",,,,"Accepted",,,,,,,,,"Not found",
"Acanthaceae","Sanchezia tarapotensis",1,,,1,2477880,"Species","Accepted","Acanthaceae","Sanchezia tarapotensis","Leonard & L.B.Sm.",2477880,"N","Sanchezia tarapotensis",,,,"Accepted",606623,,"Sanchezia tarapotensis Leonard & L.B.Sm.","ESPECIE","Leonard & L.B.Sm.","NOME_ACEITO","NOME_CORRETO","Sanchezia tarapotensis","NOME_ACEITO",
