"Site","Species","Family","n","Country","State_Province","County","Localidade","decimalLatitude","decimalLongitude","mes_nonenso","ano_nonenso","mes_enso","ano_enso","season","typeVegatation","RD","Ψ50","Ψ88","ΨnonENSO","ΨENSO","VD","VA","Kh","Dh"
"HSF","Amphyrrhox longifolia","Violaceae","5","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","1.08","-2.28","-5.77","-2.12","-1.93","1005.1","7.1","1.5","15.1"
"HSF","Chamaecrista xinguensis","Fabaceae","3","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","6.15","-3.14","-6.05","-2.68","-2.58","300.5","11.4","9.7","32.9"
"HSF","Coussarea albescens","Rubiaceae","3","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","4.61","-4.86","-6.64","-2.25","-3.21","1314.0","5.7","1.6","14.5"
"HSF","Endopleura uchi","Humiriaceae","2","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","1.01","-1.52","-4.83","-1.1","-1.62","594.3","7.2","7.9","26.4"
"HSF","Erisma unsinatum","Vochysiaceae","3","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","11.07","-2.13","-3.24","-1.22","-1.06","391.7","11.2","5.6","26.5"
"HSF","Manilkara huberi ","Sapotaceae ","3","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","26,96","-1,75","-4,51","NA ","NA ","NA ","NA ","NA ","NA"
"HSF","Mezilaurus itauba ","Lauraceae ","2","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","1.2","-2,98","-5.54","-1.64","-1.98","992.1","4.3","12,3","25,8"
"HSF","Miconia lepidota","Melastomataceae","3","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","0.09","-5.02","-6.76","-1.96","-3.01","1337.1","4.9","4.0","18.1"
"HSF","Minquartia guianensis","Olacaceae",,"BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","0.06","-2.37","-6.03","NA","NA","NA","NA","NA","NA"
"HSF","Protium apiculatum","Burseraceae","3","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","2.15","-1.94","-2.12","-1.38","-1.29","956.1","5.0","7.5","23.3"
"HSF","Rinourea passourea","Violaceae","5","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","7.59","-2.99","-7.30","-2.58","-4.43","909.4","9.2","0.6","12.5"
"HSF","Tachigali chrysophylla","Fabaceae","2","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)","-2.850000","-54.966667","12","2014","12","2015","dry","high seasonal forest","15.77","-3.79","-5.13","NA","NA","NA","NA","NA","NA"
"LSF","Caryocar glabrum","Caryocaraceae","2","BRAZIL","Amazonas","Manaus","Cuieras Biological Reserve (K34 site), near Manaus,  low seasonality forest (LSF)","2 61 S","60 21 W","8","2016","10","2015","dry","low seasonal forest","0.01","-1.78","-3.10","-0.71","-1.1","578.2","5.9","22.6","34.6"
