"Longtitude","Latitude","site.name","family","species.name","p12","p50","p88","ECC_local","P","mcwd","ECC_basin","wtd"
"-58.25843033","-9.819450759","MT-COTR","Malvaceae","Theobroma subincanum","0.26","0.37","0.47","0.81","3.3","-336.6","-0.218495587","-3.738460302"
"-58.25815527","-9.819484192","MT-COTR","Violaceae","Leonia glycycarpa","0.21","1.55","5.71","0.81","3.3","-336.6","-0.218495587","-3.738460302"
"-58.2580128","-9.819458451","MT-COTR","Burseraceae","Tetragastris altissima","0.06","0.7","3.4","0.81","3.3","-336.6","-0.218495587","-3.738460302"
"-58.25786272","-9.819393048","MT-COTR","Burseraceae","Tetragastris altissima","0.12","1.04","4.44","0.81","3.3","-336.6","-0.218495587","-3.738460302"
"-58.2577028","-9.819456779","MT-COTR","Burseraceae","Tetragastris altissima","0.36","0.48","0.59","0.81","3.3","-336.6","-0.218495587","-3.738460302"
"-58.25758674","-9.819459338","MT-COTR","Sapotaceae","Pouteria reticulata","0.09","1.31","7.48","0.81","3.3","-336.6","-0.218495587","-3.738460302"
"-58.2575506","-9.819518258","MT-COTR","Annonaceae","Anaxagorea manausensis","0.06","0.63","3.12","0.81","3.3","-336.6","-0.218495587","-3.738460302"
"-58.25733449","-9.819579401","MT-COTR","Fabaceae","Phellocarpus amazonum","0.32","2","6.8","0.81","3.3","-336.6","-0.218495587","-3.738460302"
"-58.25735658","-9.819539306","MT-COTR","Malvaceae","Theobroma microcarpum","0.26","1.4","4.25","0.81","3.3","-336.6","-0.218495587","-3.738460302"
"-58.25754702","-9.819609649","MT-COTR","Moraceae","Clarisia biflora","0.29","2.13","8.01","0.81","3.3","-336.6","-0.218495587","-3.738460302"
"-58.25778731","-9.819531015","MT-COTR","Burseraceae","Tetragastris altissima","0.05","0.67","3.71","0.81","3.3","-336.6","-0.218495587","-3.738460302"
"-58.29343931","-9.804945277","MT-COTR","Simaroubaceae","Simarouba amara","0.96","1.34","1.68","1.98","3.2","-336.6","-0.218495587","-9.033341408"
"-58.29314319","-9.804733088","MT-COTR","Sapotaceae","Pouteria reticulata","0.49","1.85","4.47","1.98","3.2","-336.6","-0.218495587","-9.033341408"
"-58.29251236","-9.804672591","MT-COTR","Sapotaceae","Pouteria reticulata","0.18","1.22","4.32","1.98","3.2","-336.6","-0.218495587","-9.033341408"
"-58.29313248","-9.804465405","MT-COTR","Malvaceae","Theobroma microcarpum","0.88","2.39","4.6","1.98","3.2","-336.6","-0.218495587","-9.033341408"
"-58.29431948","-9.814363661","MT-COTR","Primulaceae","Clavija lancifolia","0.56","2.18","5.32","0.39","3.71","-336.6","-0.218495587","-3.265430689"
"-58.29379399","-9.81437621","MT-COTR","Fabaceae","Dialium guianense","1.08","2.35","3.95","0.39","3.71","-336.6","-0.218495587","-3.265430689"
"-58.29314844","-9.814118247","MT-COTR","Burseraceae","Tetragastris altissima","0.27","1.35","3.94","0.39","3.71","-336.6","-0.218495587","-5.584802151"
"-58.26701006","-9.809112984","MT-COTR","Malvaceae","Theobroma microcarpum","0.74","1.94","3.69","0.75","3.57","-336.6","-0.218495587","-6.942854881"
"-58.26743093","-9.808923149","MT-COTR","Burseraceae","Tetragastris altissima","1","1.55","2.06","0.75","3.57","-336.6","-0.218495587","-6.942854881"
"-58.2666885","-9.809671256","MT-COTR","Rutaceae","Metrodorea flavida","1.6","3.77","6.63","0.75","3.57","-336.6","-0.218495587","-6.942854881"
"-58.26710611","-9.809081181","MT-COTR","Burseraceae","Tetragastris altissima","1.07","2.3","3.82","0.75","3.57","-336.6","-0.218495587","-6.942854881"
"-58.25721141","-9.810584007","MT-COTR","Burseraceae","Tetragastris altissima","0.52","1.57","3.24","0.44","2.42","-336.6","-0.218495587","-6.622415543"
"-58.25705163","-9.810491158","MT-COTR","Rutaceae","Metrodorea flavida","3.44","5.87","8.36","0.44","2.42","-336.6","-0.218495587","-6.622415543"
"-58.25679598","-9.810392201","MT-COTR","Sapotaceae","Pouteria reticulata","0.86","2.83","6.22","0.44","2.42","-336.6","-0.218495587","-6.622415543"
"-58.25659109","-9.810373646","MT-COTR","Rutaceae","Metrodorea flavida","3.49","4.71","5.74","0.44","2.42","-336.6","-0.218495587","-6.622415543"
"-58.25640515","-9.810374093","MT-COTR","Lecythidaceae","Eschweilera coriacea","1.81","4.73","8.93","0.44","2.42","-336.6","-0.218495587","-6.622415543"
"-58.25665259","-9.810418914","MT-COTR","Lecythidaceae","Eschweilera coriacea","0.76","2.58","5.77","0.44","2.42","-336.6","-0.218495587","-6.622415543"
"-58.22008866","-9.78492504","MT-COTR","Fabaceae","Macrolobium sp.","0.2","1.33","4.58","0.645","3.5","-329","-0.601378147","-0.091554135"
"-58.22463564","-9.810613393","MT-COTR","Calophyllaceae","Calophyllum brasiliense","0.62","1.87","3.9","0.65","3.5","-329","-0.601378147","-5.935759544"
"-58.21773971","-9.788102493","MT-COTR","Caryocaraceae","Caryocar microcarpum","1.72","1.97","2.15","0.65","3.5","-329","-0.601378147","-5.68E-14"
"-58.22182419","-9.781097007","MT-COTR","Calophyllaceae","Calophyllum brasiliense","0.52","0.76","0.96","0.65","3.5","-329","-0.601378147","-0.122072175"
"-59.95919652","-2.936045186","AM-DUCK","Burseraceae","Protium nitidifolium","3.06","4.81","6.5","0.26","4.53","-80","-0.819612201","-22.07980537"
"-59.95881265","-2.936126872","AM-DUCK","Chrysobalanaceae","Licania heteromorpha","1.4","4.06","8.19","0.26","4.53","-80","-0.819612201","-22.07980537"
"-59.95926249","-2.936352011","AM-DUCK","Burseraceae","Protium nitidifolium","0.53","2.3","6.08","0.26","4.53","-80","-0.819612201","-21.37788963"
"-59.94168268","-2.933127333","AM-DUCK","Burseraceae","Protium nitidifolium","2.01","4.12","6.62","0.2","2.83","-80","-0.862474311","-8.880750656"
"-59.94229918","-2.93340471","AM-DUCK","Burseraceae","Protium nitidifolium","3.21","3.44","3.6","0.2","2.83","-80","-0.862474311","-8.880750656"
"-59.93544192","-2.940919226","AM-DUCK","Sapotaceae","Chrysophyllum sanguinolentum","1.29","2.22","3.19","0.06","1.22","-80","-0.862474311","-6.042572498"
"-59.93542524","-2.941206205","AM-DUCK","Annonaceae","Guatteria megalophylla","0.73","1.79","3.22","0.06","1.22","-80","-0.862474311","-6.042572498"
"-59.93486184","-2.941580511","AM-DUCK","Rutaceae","Adiscanthus fusciflorus","0.15","1.35","5.69","0.06","1.22","-80","-0.862474311","-5.68E-14"
"-59.9624113","-2.945733761","AM-DUCK","Annonaceae","Guatteria discolor","1.31","2.91","4.94","0.16","1.71","-80","-0.819612201","-23.45311737"
"-59.94156126","-2.933462083","AM-DUCK","Chrysobalanaceae","Licania heteromorpha","1.36","4.94","10","0.2","2.83","-80","-0.862474311","-8.880750656"
"-59.9432227","-2.922957223","AM-DUCK","Chrysobalanaceae","Licania heteromorpha","1.36","2.09","2.78","0.3","3.48","-80","-0.862474311","-14.52658844"
"-59.94299172","-2.923969049","AM-DUCK","Burseraceae","Protium trifoliolatum","0.93","1.76","2.67","0.3","3.48","-80","-0.862474311","-7.934691429"
"-59.94296222","-2.92359455","AM-DUCK","Burseraceae","Protium trifoliolatum","2.21","3.19","4.07","0.3","3.48","-80","-0.862474311","-14.52658844"
"-59.95057073","-2.934861119","AM-DUCK","Sapotaceae","Micropholis williamii","0.57","1.65","3.33","0.16","2.54","-80","-0.819612201","-8.590828896"
"-59.95125447","-2.93541504","AM-DUCK","Sapotaceae","Micropholis williamii","0.54","2.81","8.39","0.16","2.54","-80","-0.819612201","-5.68E-14"
"-59.9517842","-2.952935158","AM-DUCK","Annonaceae","Guatteria megalophylla","0.83","1.66","2.63","0.07","1.22","-80","-0.820693471","-6.546120167"
"-59.9535787","-2.944489166","AM-DUCK","Annonaceae","Guatteria olivacea","1.42","2.65","4.01","0.02","1","-80","-0.819612201","-1.373311996"
"-59.95909367","-2.936867471","AM-DUCK","Annonaceae","Guatteria discolor","1.78","2.27","2.65","0.26","4.53","-80","-0.819612201","-21.37788963"
"-59.95918346","-2.93735078","AM-DUCK","Sapotaceae","Micropholis williamii","1.96","5.13","9.7","0.26","4.53","-80","-0.819612201","-21.37788963"
"-59.96284919","-2.946924304","AM-DUCK","Sapotaceae","Pouteria peruviensis","1.17","2.5","4.13","0.16","1.7","-80","-0.819612201","-14.2061491"
"-59.96009311","-2.937669309","AM-DUCK","Myristicaceae","Virola venosa","0.39","2.82","10","0.26","1.7","-80","-0.819612201","-21.37788963"
"-59.9512748","-2.935621183","AM-DUCK","Fabaceae","Swartzia ulei","0.93","2.42","4.55","0.16","2.54","-80","-0.819612201","-5.68E-14"
"-59.95172002","-2.935769439","AM-DUCK","Fabaceae","Zygia ramiflora","1.62","3.25","5.16","0.16","2.54","-80","-0.819612201","-5.68E-14"
"-59.9516212","-2.953291602","AM-DUCK","Fabaceae","Eperua duckeana","0.25","0.76","1.57","0.07","1.22","-80","-0.820693471","-6.546120167"
"-59.95208911","-2.953227133","AM-DUCK","Fabaceae","Eperua duckeana","0.22","1.35","4.49","0.07","1.22","-80","-0.820693471","-6.546120167"
"-59.95222096","-2.953191045","AM-DUCK","Fabaceae","Eperua duckeana","0.08","0.83","4.05","0.07","1.22","-80","-0.820693471","-6.546120167"
"-67.61486204","-10.07075068","AC-CATU","Annonaceae","Anaxagorea brevipes","0.69","1.5","2.5","2.54","8.32","-228.2","0.293900191","-5.29488039"
"-67.61486204","-10.07075068","AC-CATU","Annonaceae","Anaxagorea brevipes","0.78","2.07","3.97","2.54","8.32","-228.2","0.293900191","-5.29488039"
"-67.61490567","-10.07011179","AC-CATU","Annonaceae","Anaxagorea brevipes","1.01","2.14","3.54","2.54","8.32","-228.2","0.293900191","-5.29488039"
"-67.61492073","-10.06985468","AC-CATU","Myristicaceae","Virola caducifolia","0.32","0.92","1.83","2.54","8.32","-228.2","0.293900191","-5.29488039"
"-67.61473787","-10.07526539","AC-CATU","Clusiaceae","Tovomita sp.","0.12","0.72","2.3","2.54","8.32","-228.2","0.293900191","-3.677424192"
"-67.61470633","-10.07548022","AC-CATU","Meliaceae","Guarea pterorhachis","1.27","2.08","2.88","2.54","8.32","-228.2","0.293900191","-3.677424192"
"-67.61477143","-10.07559572","AC-CATU","Clusiaceae","Tovomita sp.","0.15","1.02","3.62","2.54","8.32","-228.2","0.293900191","-3.677424192"
"-67.6148743","-10.07540217","AC-CATU","Clusiaceae","Tovomita sp.","0.05","0.8","5.38","2.54","8.32","-228.2","0.293900191","-3.677424192"
"-67.61459535","-10.07547861","AC-CATU","Malvaceae","Theobroma cacao","0.17","0.19","0.21","2.54","8.32","-228.2","0.293900191","-3.677424192"
"-67.61465347","-10.07543652","AC-CATU","Malvaceae","Theobroma cacao","0.05","0.54","2.63","2.54","8.32","-228.2","0.293900191","-3.677424192"
"-67.61478616","-10.07543375","AC-CATU","Malvaceae","Theobroma cacao","0.04","0.14","0.33","2.54","8.32","-228.2","0.293900191","-3.677424192"
"-67.63046376","-10.09088473","AC-CATU","Malvaceae","Quararibea caldasiana","0.02","0.41","2.89","1.21","14.28","-228.2","0.293900191","-18.32608604"
"-67.63076926","-10.0905515","AC-CATU","Moraceae","Pseudolmedia laevis","0.03","0.58","3.93","1.21","14.28","-228.2","0.293900191","-18.32608604"
"-67.6301101","-10.0900329","AC-CATU","Lecythidaceae","Eschweilera ovalifolia","0.18","1.31","4.87","1.21","9.2","-228.2","0.293900191","-18.32608604"
"-67.62979057","-10.08974087","AC-CATU","Lecythidaceae","Eschweilera ovalifolia","0.46","2.22","6.24","1.21","9.2","-228.2","0.293900191","-18.32608604"
"-67.62878184","-10.08880045","AC-CATU","Lecythidaceae","Eschweilera ovalifolia","0.88","0.99","1.07","1.21","9.2","-228.2","0.293900191","-18.32608604"
"-67.62746581","-10.08755251","AC-CATU","Fabaceae","Arouna guianensis","0.06","0.84","4.97","1.21","9.2","-228.2","0.293900191","-19.27214432"
"-67.6266731","-10.08673038","AC-CATU","Fabaceae","Arouna guianensis","0.07","1.2","8.23","1.21","9.2","-228.2","0.293900191","-19.27214432"
"-67.62502621","-10.08519789","AC-CATU","Rutaceae","Metrodorea flavida","0.02","0.94","10","1.21","9.2","-228.2","0.293900191","-18.8448925"
"-67.62259351","-10.08301187","AC-CATU","Rutaceae","Metrodorea flavida","0.43","1.53","3.53","1.21","9.2","-228.2","0.293900191","-16.78492355"
"-67.61787917","-10.07863527","AC-CATU","Rutaceae","Metrodorea flavida","0.6","2.87","8.05","1.21","9.2","-228.2","0.293900191","-11.61211586"
"-59.26966276","-1.780520752","AM-REBI","Burseraceae","Tetragastris altissima","0.5","1.06","1.74","5.67","1.59","-95.8","0.46","-5.66109705"
"-59.26953843","-1.780439745","AM-REBI","Violaceae","Amphirrhox longifolia","1.76","3.03","4.34","5.67","1.59","-95.8","0.46","-5.66109705"
"-59.26954529","-1.780663512","AM-REBI","Meliaceae","Guarea kunthiana","0.7","2.64","6.35","5.67","1.59","-95.8","0.46","-5.66109705"
"-59.26954389","-1.780879618","AM-REBI","Burseraceae","Tetragastris catuaba","1.64","2.48","3.27","5.67","1.59","-95.8","0.46","-5.66109705"
"-59.25203999","-1.781097661","AM-REBI","Meliaceae","Carapa guianensis","0.05","0.92","6.24","1.35","4.09","-95.8","0.46","-2.02944994"
"-59.25183021","-1.781124875","AM-REBI","Malvaceae","Quararibea ochrocalyx","0.22","1.9","7.87","1.35","4.09","-95.8","0.46","-2.02944994"
"-59.26959665","-1.781109733","AM-REBI","Myrtaceae","Eugenia patrisii","1.65","3.9","6.89","5.67","1.59","-95.8","0.46","-5.66109705"
"-59.26959269","-1.78122732","AM-REBI","Fabaceae","Inga sp.","2.89","4.51","6.06","5.67","1.59","-95.8","0.46","-5.66109705"
