"Plot","Species","Country","State_Province","County","Localidade","decimalLatitude","decimalLongitude","initialYearSampling","initialMonthSampling","finalYearSampling","finalMonthSampling","seasons","typeVegatation","methodsID","notes","DBH","Tree Light Score","Vcmax","Jmax","Rstem","Rleaf","LMA","Min Gs","Max Gs","ƿ","PLC","P50","SM_p50","Ksmax","Ψpd","Ψmd","Nleaf","Pleaf","LA:SA","Mean Growth"
"Control","Vouacapoua americana","BRAZIL","Pará","Belém","Caxiuanã National Forest Reserve","-1.716667","-51.450000","2016","9","2016","10","dry",,,,"20,8","4","31,04829952","55,21791569","0,214895093","0,573738567","41,5717417","0,008440596","0,103275466","0,588785047","13,10491662","NA","NA","170722,4177","0,405","1,82","NA","0,5","20074,29014","0,000481432"
"Control","Vouacapoua americana",,"Pará","Belém","Caxiuanã National Forest Reserve","-1.716667","-51.450000","2016","9","2016","10","dry",,,,"38,9","4","30,75116915","51,34057742","1,002304307","0,43598343","59,82434308","0,025699729","0,127542347","0,615044248","18,23138323","NA","NA","312749,6473","0,54","2,1","22","0,5","NA","0,000602722"
"Control","Inga alba",,"Pará","Belém","Caxiuanã National Forest Reserve","-1.716667","-51.450000","2016","9","2016","10","dry",,,,"39,3","5","45,325491","75,940406","1,04844506","0,976947899","63,6024292","0,02406383","0,073989417","0,660341556","19,66593271","3,624891658","2,304891658","448373,0304","0,505","1,32","31","0,5","5459,704131","0,000554828"
"Control","Aspidosperma desmanthum",,"Pará","Belém","Caxiuanã National Forest Reserve","-1.716667","-51.450000","2016","9","2016","10","dry",,,,"14,8","4","18,22419386","24,49085792","0,911668502","0,495318153","114,9349483","NA","0,086728484","0,513056836","9,724431774","1,690923225","0","22229,2536","0,33","2,35","15","0,1","9028,0759","0,000940475"
"Control","Pouteria anomala",,"Pará","Belém","Caxiuanã National Forest Reserve","-1.716667","-51.450000","2016","9","2016","10","dry",,,,"16,3","5","25,43676322","42,37730364","1,186799867","1,552630529","77,64616473","0,105263838","0,109580745","0,462882096","0","0,917707125","0","116489,0936","0,82","2,9","24","0,1","7650,084287","0,002543764"
"Control","Protium tenuifolium",,"Pará","Belém","Caxiuanã National Forest Reserve","-1.716667","-51.450000","2016","9","2016","10","dry",,,,"37,5","5","21,24929432","34,5684564","0,491082194","0,730999083","59,77692966","0,000773954","0,068340632","0,480662983","27,23316979","3,03923446","1,18923446","171230,6429","1,15","1,85","20","0,3","5606,316419","0,001696469"
"Control","Swartzia racemosa",,"Pará","Belém","Caxiuanã National Forest Reserve","-1.716667","-51.450000","2016","9","2016","10","dry",,,,"32,2","5","41,09290183","58,09600433","0,671711895","0,323423466","64,99006699","NA","0,213493661","0,69047619","NA","1,456649776","0,256649776","NA","0,29","1,2","22","0,4","NA","NA"
"Control","Licania octandra",,"Pará","Belém","Caxiuanã National Forest Reserve","-1.716667","-51.450000","2016","9","2016","10","dry",,,,"11,2","1","10,31394919","23,65962032","0,398434663","0,52680943","56,17596164","0,048721287","0,101715671","0,723529412","NA","3,089380154","1,739380154","NA","0,19","1,35","12","0,3","NA","0,000790764"
"Control","Pouteria decorticans",,"Pará","Belém","Caxiuanã National Forest Reserve","-1.716667","-51.450000","2016","9","2016","10","dry",,,,"24,2","3","17,48586655","33,14615972","0,442145679","0,622427363","72,5312988","0,025035849","0,106651712","0,805084746","0","1,602948304","0","154501,1266","0,54","2,05","12","0,2","12185,90682","0,001341714"
"Control","Aspidosperma NA",,"Pará","Belém","Caxiuanã National Forest Reserve","-1.716667","-51.450000","2016","9","2016","10","dry",,,,"14,3","2","21,36303022","30,00809725","0,32955126","1,834570959","77,45160337","0,039600856","0,099308385","NA","NA","1,519424991","0,519424991","NA","0,95","1","14","0,4","NA","0,00014726"
