Cluster,Forest,Region,Site,Family,Species,Pheno,Domin_relat,p50,p88,Psi_min,HSM_p50,HSM_p88,wd_b,MCWD,WDA
ALP,Aseasonal,Western Amazon,ALP1,Lauraceae,Anaueria brasiliensis,NA,9.728895715,-1.830909564,-2.839636987,-1.2424,0.588509564,1.597236987,0.590430256,-23.1076032,0
ALP,Aseasonal,Western Amazon,ALP1,Moraceae,Brosimum rubescens,Evergreen,0.509837274,-1.940119832,-3.330543227,-0.839833333,1.100286499,2.490709894,0.571388148,-23.1076032,-32
ALP,Aseasonal,Western Amazon,ALP1,Fabaceae,Dialium guianense,Evergreen,2.371617795,-3.081030023,-5.921046808,-0.718285714,2.362744309,5.202761094,0.644982165,-23.1076032,-166
ALP,Aseasonal,Western Amazon,ALP1,Annonaceae,Diclinanona tessmannii,NA,0.509069678,-1.934702606,-2.631881691,-0.507333333,1.427369273,2.124548358,0.561876724,-23.1076032,0
ALP,Aseasonal,Western Amazon,ALP1,Linaceae,Hebepetalum humiriifolium,NA,0.552586468,-0.432303073,-0.72635197,-0.8614,-0.429096927,-0.13504803,0.680063919,-23.1076032,-173
ALP,Aseasonal,Western Amazon,ALP1,Fabaceae,Inga thibaudiana,NA,0.518599678,-1.858631819,-3.027741048,-1.17325,0.685381819,1.854491048,0.544356264,-23.1076032,-121
ALP,Aseasonal,Western Amazon,ALP1,Sapotaceae,Pouteria torta,Deciduous,0.524752255,-1.596206843,-2.819250312,-0.3795,1.216706843,2.439750312,0.741342165,-23.1076032,-98
ALP,Aseasonal,Western Amazon,ALP1,Burseraceae,Protium indet,NA,NA,-3.744415034,-6.490245333,-0.420285714,3.32412932,6.069959619,0.429023508,-23.1076032,NA
ALP,Aseasonal,Western Amazon,ALP1,Burseraceae,Protium opacum,Evergreen,1.207399012,-1.104929866,-1.665593096,-0.5494,0.555529866,1.116193096,0.553224961,-23.1076032,-44
ALP,Aseasonal,Western Amazon,ALP1,Moraceae,Pseudolmedia laevis,Evergreen,0.37496475,-2.881659983,-5.558480269,-0.868166667,2.013493316,4.690313602,0.574879248,-23.1076032,-287
ALP,Aseasonal,Western Amazon,ALP1,Phyllanthaceae,Richeria grandis,Semideciduous,0.659884582,-1.729014481,-3.140022798,-1.0862,0.642814481,2.053822798,0.634683142,-23.1076032,-34
ALP,Aseasonal,Western Amazon,ALP1,Euphorbiaceae,Senefeldera skutchiana,NA,2.269988082,-2.975179809,-4.675984411,-0.4636,2.511579809,4.212384411,0.605484491,-23.1076032,NA
ALP,Aseasonal,Western Amazon,ALP1,Anacardiaceae,Tapirira guianensis,Evergreen,0.931725759,-1.695891438,-3.433648639,-0.542875,1.153016438,2.890773639,0.45271816,-23.1076032,-144
ALP,Aseasonal,Western Amazon,ALP1,Myristicaceae,Virola pavonis,Evergreen,1.722987351,-1.236916434,-2.164219067,-1.111,0.125916434,1.053219067,0.46482129,-23.1076032,-5
ALP,Aseasonal,Western Amazon,ALP2,Moraceae,Brosimum guianense,Deciduous,0.945594117,-2.19747693,-3.342789847,-0.534666667,1.662810263,2.80812318,0.591755483,-23.27687769,-178
ALP,Aseasonal,Western Amazon,ALP2,Moraceae,Brosimum utile,Evergreen,9.01910593,-1.82187107,-2.574230505,-0.783,1.03887107,1.791230505,0.563091794,-23.27687769,-279
ALP,Aseasonal,Western Amazon,ALP2,Sapotaceae,Chrysophyllum amazonicum,NA,1.144864294,-1.905611954,-3.158223524,-0.361625,1.543986954,2.796598524,0.604352928,-23.27687769,-3
ALP,Aseasonal,Western Amazon,ALP2,Fabaceae,Cynometra bauhiniifolia,NA,3.705159364,-1.903673175,-3.589858098,-0.7866,1.117073175,2.803258098,0.757745882,-23.27687769,NA
ALP,Aseasonal,Western Amazon,ALP2,Lecythidaceae,Eschweilera coriacea,Evergreen,0.581655203,-1.415471658,-2.82940653,-0.9062,0.509271658,1.92320653,0.593949535,-23.27687769,-26
ALP,Aseasonal,Western Amazon,ALP2,Violaceae,Leonia glycycarpa,NA,0.783758906,-1.366323762,-2.311135852,-0.521857143,0.844466619,1.789278709,0.614547168,-23.27687769,-114
ALP,Aseasonal,Western Amazon,ALP2,Euphorbiaceae,Nealchornea yapurensis,NA,2.169275543,-1.013076214,-2.257237467,-0.498333333,0.514742881,1.758904134,0.489635148,-23.27687769,-31
ALP,Aseasonal,Western Amazon,ALP2,Myristicaceae,Otoba glycycarpa,NA,1.8898772,-0.831289076,-0.980317517,-0.833,-0.001710924,0.147317517,0.443410805,-23.27687769,-17
ALP,Aseasonal,Western Amazon,ALP2,Burseraceae,Protium grandifolium,Evergreen,0.820742763,-1.656737131,-1.899606289,-0.61875,1.037987131,1.280856289,0.533487085,-23.27687769,-1
ALP,Aseasonal,Western Amazon,ALP2,Moraceae,Pseudolmedia laevis,Evergreen,0.379382335,-1.560962612,-1.854997566,NA,NA,NA,0.648706313,-23.27687769,-287
ALP,Aseasonal,Western Amazon,ALP2,Simaroubaceae,Simarouba amara,Evergreen,5.60335388,-0.625038208,-0.966558267,-0.715833333,-0.090795125,0.250724934,0.517932326,-23.27687769,-207
CAX,Intermediate DSL,C.Eastern Amazon,CAX,Apocynaceae,Aspidosperma desmanthum,NA,NA,-1.690923225,-4.731437515,-2.35,-0.659076775,2.381437515,0.513056836,-256.0901071,-205
