"traitID","unitOfMeasure","methodsID","value","family","species","sourceID","initialYearSampling","initialMonthSampling","initialDaySampling","finalYearSampling","finalMonthSampling","finalDaySampling","seasons","weatherAnomaly","lifeStage","country","stateProvince","municipality","localidade","decimalLatitude","decimalLongitude","altitude","typeVegatation","notes"
"RD","","","1.08","Violaceae","Amphyrrhox longifolia","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
"RD","","","6.15","Fabaceae","Chamaecrista xinguensis","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"RD","","","4.61","Rubiaceae","Coussarea albescens","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"RD","","","1.01","Humiriaceae","Endopleura uchi","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"RD","","","11.07","Vochysiaceae","Erisma unsinatum","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"RD","","","2696","Sapotaceae","Manilkara huberi","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"RD","","","1.2","Lauraceae","Mezilaurus itauba","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
"RD","","","0.09","Melastomataceae","Miconia lepidota","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"RD","","","0.06","Olacaceae","Minquartia guianensis","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:NA"
"RD","","","2.15","Burseraceae","Protium apiculatum","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:3"
"RD","","","7.59","Violaceae","Rinourea passourea","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:5"
"RD","","","15.77","Fabaceae","Tachigali chrysophylla","Barros et all 2019",2015,"12","","","","","dry","","adult","BRAZIL","Pará","Santarém","Tapajós National Forest (K67 site), near Santarém, higher seasonality forest (HSF)",-2.85,-54.966667,"","high seasonal forest","mean, n:2"
